tick,population,mean_h,median_h,births_interval,deaths_starvation_interval,deaths_collision_interval,food_count,kl_divergence
177300,48,5.8750,6.0,191,0,196,899,0.371396
177400,50,5.9600,6.0,187,0,185,927,0.440900
177500,57,5.6842,5.0,200,0,193,896,0.475160
177600,73,5.7123,6.0,202,0,186,841,0.457693
177700,67,5.4776,5.0,170,0,176,849,0.394268
177800,70,5.0714,5.0,176,0,173,823,0.330856
177900,64,5.6094,6.0,164,0,170,830,0.307024
178000,79,5.4051,5.0,185,1,169,792,0.337040
178100,62,5.1290,5.0,157,1,173,855,0.342695
178200,73,5.6849,5.0,179,0,168,809,0.310776
178300,77,5.3896,5.0,166,0,162,786,0.295149
178400,73,5.3014,5.0,160,0,164,791,0.324163
178500,58,5.7241,6.0,152,1,166,870,0.355891
178600,59,5.5254,5.0,182,0,181,885,0.342000
178700,57,5.3158,5.0,178,0,180,881,0.390173
178800,82,5.5488,6.0,186,0,161,812,0.322159
178900,76,5.3158,5.0,144,0,150,865,0.322954
179000,59,5.4746,5.0,169,1,185,860,0.351936
179100,70,5.6571,6.0,161,0,150,858,0.344368
179200,68,5.5000,6.0,157,0,159,866,0.349133
179300,60,5.3333,5.0,164,0,172,862,0.323494
179400,72,5.6111,6.0,168,0,156,872,0.324730
179500,72,5.6528,6.0,152,0,152,866,0.320311
179600,66,5.3485,5.0,161,0,167,863,0.328052
179700,79,5.5443,5.0,177,0,164,828,0.321069
179800,63,5.4603,5.0,149,0,165,851,0.357696
179900,48,5.3125,5.0,157,0,172,911,0.453679
180000,66,5.5455,6.0,196,0,178,876,0.420621
180100,65,5.4154,5.0,174,0,175,880,0.358125
180200,59,5.4407,6.0,180,0,186,848,0.426839
180300,65,5.6000,5.0,185,0,179,859,0.438732
180400,46,5.5870,6.0,169,0,188,902,0.413657
180500,45,5.4222,6.0,197,0,198,900,0.445572
180600,38,5.3684,5.0,204,0,211,940,0.434016
180700,58,5.3103,5.0,224,0,204,848,0.452877
180800,36,5.0000,5.0,186,0,208,914,0.395926
180900,40,5.7000,6.0,203,0,199,918,0.427469
181000,49,5.6531,6.0,204,0,195,855,0.449665
181100,32,5.7188,6.0,183,0,200,916,0.469631
181200,63,5.7460,6.0,227,0,196,854,0.463835
181300,42,5.5714,6.0,176,0,197,876,0.441226
181400,48,5.2500,5.0,201,0,195,855,0.413610
181500,60,5.5833,5.0,205,0,193,823,0.350015
181600,52,5.5000,5.0,177,0,185,829,0.389186
181700,60,5.2500,5.0,191,0,183,846,0.389590
181800,63,5.7778,6.0,192,0,189,829,0.394923
181900,70,5.5286,6.0,188,0,181,793,0.362058
182000,58,5.4483,5.0,177,0,189,816,0.334160
182100,55,5.7091,6.0,189,0,192,846,0.373611
182200,50,5.7000,5.5,177,0,182,856,0.455326
182300,45,5.4000,5.0,191,0,196,859,0.436006
182400,60,5.4667,5.0,203,0,188,867,0.404627
182500,60,5.5000,5.0,190,0,190,826,0.356227
182600,45,5.3556,5.0,172,0,187,896,0.425004
182700,64,5.3906,5.0,220,0,201,813,0.430669
182800,60,5.5667,5.5,168,0,172,851,0.404920
182900,62,5.2903,5.0,175,0,173,828,0.390546
183000,67,5.5672,5.0,184,0,179,844,0.369171
183100,52,5.4423,5.0,166,0,181,870,0.360952
183200,60,5.4167,5.0,180,0,172,865,0.411546
183300,59,5.4237,5.0,185,0,186,857,0.406119
183400,59,5.5424,5.0,172,0,172,880,0.386869
183500,55,5.4545,5.0,180,0,184,870,0.441485
